date,business_name,review_id,stars,text
2013-05-09,Great Lakes Airlines,WP6pvnTaIp5zO7Tv7Sr85Q,5,"So I've seen a few bad write-ups on Great Lakes Airlines and I am not doubting the legibility of the claims but I had a wonderful experience. First of all, they are the only airline that flies me from Phoenix to Show Low to see my girlfriend. Second, and this is where I see a lot of complaints, is the delays. Neither my departure or arrival were late, I was in the plane with my seatbelt on at the time of departure promised. The staff on and off the plane were very friendly and even though the planes are small and outdated, my flight was only 40 minutes so I can't complain. I would definitely recommend choosing this airline."
2013-10-07,Great Lakes Airlines,ftE8hHJv6cbJ54WJ_9fpdw,1,"Cancelled flight at the last minute!!!!! not because of weather, but because of eqipment failure.   the agents were very helpful but that doesnt take away the annoyance of ""no more flights today""."
2014-06-05,Great Lakes Airlines,m51oCfRiKJGmO_k6kqZSDw,1,"WORST AIRLINE I HAVE EVER EXPERIENCED. 
WOULD NOT LET ME ON THE FLIGHT BECAUSE THEY OVERBOOKED IT, AND THEN REFUSED TO REFUND ME AND MY FAMILY....EVEN THOUGH I HAD A REFUNDABLE TICKET. 
Bought flight tickets in January for a trip down the Grand Canyon that left the following morning at 6am. They canceled our flight in March and rescheduled us for a later flight. Then 3 days prior to our flight they told us they overbooked our flight and could only take 9 out of the 11 people they booked. After more than 15 calls to them including the corporate headquarters they said they absolutely would not compensate us for having to drive to our destination now, there was no way they could guarantee our flight unless arrived onsite 24 hours in advance (no more no less), and that they had no idea if or how they could refund our flight. Despite us having to miss our entire trip that cost thousands of dollars by telling us 3 days prior to our departure that they are unable to take us to our destination. They are also unfortunately the only airline that flys into this site. We arrived 3 hours before the plane took off, but they would not let us on the plane, and refused to refund our tickets. We lost all of the money, were stranded in page, and had to spend 400$ on a one way rental care to page. I would rather drive anywhere than deal with this airline ever again. Worst customer service. I can't imagine a less reliable company....in any part of the world."
2014-06-05,Great Lakes Airlines,14GOs_N5qNaUTGxIYIJpLA,1,"One word -- NIGHTMARE!!!!!!

Of all of the businesses I have ever dealt with this business was by far the worst experience I have ever had -- and I am a business owner myself!!!

Let's start from the top:

1. We (my wife and I) book our fight in January of 2014 to fly from Phoenix, AZ to Page, AZ to go white water rafting down the Grand Canyon with my father in law. For those of you who aren't familiar, those rafting trips have to be booked a year in advance, for private trips often multiple years in advance with a lottery for who can raft it (population caps on the trips).

2. Four Days before the flight Great Lakes tells us that it is now FIRST COME FIRST SERVE ON THE FLIGHT!!!! Wait what? First come first serve seating? NO FIRST COME FIRST SERVE BOARDING!!! If we don't get there before the other passenger's we're screwed, and if we do get there before them they are screwed. 

3. We had already booked flights with Southwest so we knew we would only arrive an hour before the other passengers.  Needless to say we did not get there in time to get a seat on the plane. 

NEXT you would expect Great Lakes to say ""oh sorry we couldn't get you a seat, let's get you a refund -- and some compensation for the $400 and 7 hour car ride you are now going to have to spend on a rental. Did we get that? OF COURSE NOT! 

Did we even get a refund? NOPE! 

Luckily we were able to get our credit card company to reverse the charges otherwise I would have likely called their phone number once a day to tell them to quit their jobs.

Like I said -- NIGHTMARE!!!!!"
2012-03-23,Swift Aviation Services,R5Rr7UOgAbUB8lrRJyKqaQ,4,"This is one of the largest and most extensive FBOs I've ever been to in the country and they haven't let the size go to their head either.

They offer up prompt, friendly and thorough service while smiling and enjoying the sunshine (or the shade in their gigantic shade hangar). Their facilities are second to none and the catering that I've received through them has been quite tasty. 

I really enjoy coming here despite the fact that it's in Phoenix."
2013-12-28,Swift Aviation Services,KrA1pmfS_RYv9pGRNJhE7w,2,"0100 arrival for 150 gal of Jet A and a quick turn. Scruffy, unshaven CSA, dressed in ratty hooded sweatshirt did not project a professional image. When asked, there was no change available for a $20.00 bill for vending machine. Not the level of service expected from a high end FBO. We'll make another facility choice next time."
2009-12-10,Alaska Airlines,8O5zXnbICRt25s8bBGonmQ,5,"I use to fly a lot but as the cost raises and terror took the skies I stopped. I however flew Alaska Airlines one way from Seattle to Phoenix to transport my beloved dog. They are still the best! Their pet transport fee is still the lowest when your pet travels at the same time you do. When I got to my seat there was a post-a-note saying I'm on board too! That reassured me, and others like me that our pet was on the plane. I thought that was such a sweet and thoughtful touch. Kudos Alaska Airline! I flew you also because many trips between Seattle and Alaska with my prior dog had been successful and horror free. You know how to take care of our fury members, as well as the rest of us and you do it at fairer fare than the others.
Your cleaning staff is awesome after the flight they get in there and tidy things up for the next group, find and turn in our forgotten items like my L.G. Lotus phone and quickly get it to us before we leave the airport! When I went to claim my baggage and dog your porter took the work out of it by having all my belongings and my dog gathered and ready to go curbside for my pick up! The porter  checked to make sure my dog was mine and even minded my bags while I took my dog to the PHX doggie walk at the airport to relieve herself! All in all I felt I and my canine companion were looked out for like we were more than just a head count  from the start to the end of the trip. Further more all my belongings including my computer and camera equipment in my checked in baggage came to me undisturbed and undamaged. I thank you a thousand times for your kid gloves to my personal belongings and with my dog. I'll be flying with you again."
2010-08-31,Alaska Airlines,Bs5tFgy7-0HQlB-w0MsJHQ,4,I just found a ticket to Oregon for $220.  This unbeleiveable price compared the other Phoenix airline options.  I will know be checking Alaska more often when I go out of town.  Looking forward to the trip.  Thanks Alaska for making it more affordable.
2011-11-26,Alaska Airlines,PG73m_yuKeOhv3t2tDgpmg,4,"I travel constantly and have flown pretty much everyone from JAL, Air India to local carriers like SeaPort Air. The best way I can describe AA... I don't always fly big air, but when I do, I fly Alaska Air. lol

AA is a great carrier and I try to take them when I can."
2012-06-13,Alaska Airlines,nVpJb4CfaldJYrekSCUbgA,5,Just wanted to give a shout out to the awesome crew on our recent flight from SEA - PHX!
